centroid_x,centroid_y,radius_500
382210.67786854826,62698.08607372574,
386094.8682043071,59025.715693594815,
384836.9027897964,58978.455688811504,
385018.85431427194,58497.2142122065,
385606.0331305743,59951.60411132752,
385644.55574325466,60069.75020543916,
386671.3983685346,59408.12952660773,
386709.9170650993,59526.288010748416,
385097.3138232387,60123.43072254432,
385595.3858111636,58879.62645801446,
385624.6181169156,59315.73982149675,
381992.0600946704,64449.842259293895,
381513.00264915643,65057.18816283414,
381445.1396278056,64503.39946234521,
384708.5164567868,64817.46189161566,
384344.8087984847,65779.01612818667,
384047.7002118695,57251.072568832016,
382089.2211883222,65439.35919502392,
383500.4266972081,57304.82906041587,
384096.99207304773,58441.37785725107,43.0
382127.7472651998,65557.41259878811,
383011.78985554737,58230.870286957084,
383472.747902687,66911.96010451813,
380879.8731589451,65192.26762003552,
381580.86103155185,65610.93952671243,
383050.32977012126,58349.02884507277,
383193.6673025837,57749.60874970108,
383232.20754249673,57867.774865149964,
384215.55826885486,61575.26895079408,
384033.6805874338,62056.281806953106,
382642.10534040217,62290.18300925155,
383155.37177452014,66285.22592351123,
382478.75218328286,62135.56494518684,
382685.5082418779,66574.8185872156,
382646.9875362778,66456.77694724324,
383702.30344895954,66231.71605133613,
383663.78691917344,66113.66504165491,
383139.8114151937,61046.88268994811,87.0
383545.145914755,62981.679163475055,
383286.26470865414,63226.404088040064,
384610.058496069,62438.57733413534,
384639.3103468984,62874.47557446667,
383218.4497623552,62672.450362839365,
382739.2422520368,63279.99601567873,
383563.63718457083,62346.117688734,
385875.6810554617,60778.595629629715,
385914.2002135692,60896.73134334464,
384858.3026504568,61122.173389474156,
384896.8259938601,61240.299727809776,
385366.9763987757,60950.38942405117,
384590.07365898293,61684.82786073364,
385799.9778918356,61931.91787653005,
385829.19884522114,62367.8638635242,
386490.6555782832,61279.08900174314,
386011.1545079899,61886.84121064295,
385943.42009824974,61332.737097267185,
387833.7856549907,59855.00884012669,
387872.2974201318,59973.16626769604,
385684.4251643769,61577.55134815405,
387142.91521408194,60508.02661244906,
387507.00532080454,59545.639263022014,
387324.9532095448,60026.85129845481,
381948.45615836617,60164.12910539596,
386836.0302295598,60952.64143903609,
386576.9970030717,61197.47918129351,
388515.39555660705,59519.88064961001,
384366.71956573427,59268.47011052396,
382495.55675992277,60110.45235749784,
382629.6219996798,59829.08727229409,
383281.5588932043,59057.94907506234,
383320.0953530444,59176.0972600393,
383398.7249285582,60802.0681706486,
383437.2563492036,60920.19244684001,
384790.5281949341,60568.039754306876,
383071.98204597714,60492.779551794294,
385830.5326019441,63757.13186702601,
385792.0203340993,63639.03662411521,
385140.0312966863,64409.670263071166,
384438.9001128619,63990.90329920116,
382890.14334178704,60973.84777400295,87.0
383580.58887615555,60320.97903882914,
385687.1192595139,64356.10717624032,
385648.6078081635,64238.020973887506,
383417.21254765627,60166.32741301351,
385215.6675908358,63256.757109686536,
383691.5899081344,56505.46066522069,
384745.5974753132,63546.53805861257,
385004.5251059312,63301.81392887843,
387804.6135832206,59418.889633190614,
385733.5797056973,62767.26419053686,
387938.8373565284,59137.44149365238,
383728.5177340411,63889.87438788384,
383412.6391944368,64651.9019227224,
383383.3579185564,64216.12314924159,
383767.0396247709,64007.956867394714,
382885.7276405503,65458.86013461626,
382711.56163640873,64233.1713310049,
384497.4053791754,64862.49658849147,
384458.8893035473,64744.42281587902,
383432.6773845034,65405.32784483287,
383394.15740267973,65287.26645580753,
382807.0696872887,63833.89726229051,
382988.86999129463,63353.02989607421,
382625.2834815789,64314.72790351576,
382750.0877043826,64351.24443676527,
383220.0242279198,64061.52778395338,
383882.60233746684,64362.195409938264,
384361.86243237014,63754.73035519777,
383653.0069708979,65042.626521192666,
383682.2794330283,65478.363447078525,
384343.3381172548,64390.19260042248,
383864.0996870141,64997.59536647604,
382443.5113728368,64795.521819962974,
383796.3110281928,64443.75355042749,
383537.4460505834,64688.41968617666,
385983.2572046692,62840.30788481936,
384409.64504512964,63555.070791854836,
384773.4124606482,62593.2041293654,
385474.616935205,63012.01686230406,
384985.97219154146,63937.3293605258,
384727.0561621002,64182.02684248467,
385167.8704594986,63456.43092138949,
385197.10541045084,63892.28131350515,
383922.6318568495,65869.05723981248,
383951.8955063914,66304.75231534518,
382531.42246094893,66102.64313217036,
382713.1827542954,65621.93882839411,
383136.9032486023,66920.4473589946,
384469.6127301757,65815.53525310167,
385255.57044620276,64763.910367094606,
384996.65905600484,65008.57571472711,
381656.19847681705,64458.36365545998,
382153.7146070372,63215.50112305543,
382192.24604773853,63333.58598979795,
385979.29761048185,58671.223020399986,
384923.23780755623,58896.81864136845,
384961.76651277376,59014.976451977665,
385431.98999148986,58724.942145802335,
385865.0532727605,59706.72278291502,
385894.2767627865,60142.79429128201,
